SampleType,CellType,Treatment,viruses within nucleus
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,0
primary,mono,12hpi,1
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
primary,mac,12hpi,0
