Dwell time (ms),?I/I0,TestCase
0.83,0.24851,CR
2.83,0.25782,CR
0.55,0.26821,CR
2.25,0.26137,CR
0.86,0.2262,CR
1.16,0.28161,CR
0.57,0.24275,CR
1.83,0.25758,CR
1.4,0.28827,CR
0.62,0.26293,CR
0.72,0.27734,CR
0.8,0.27811,CR
0.76,0.2567,CR
3.02,0.28524,CR
0.77,0.22792,CR
0.51,0.25393,CR
0.67,0.25175,CR
1.11,0.24356,CR
1.56,0.26297,CR
1.01,0.23598,CR
0.8,0.235,CR
1.02,0.26763,CR
1.39,0.25679,CR
2.29,0.26257,CR
1.1,0.247,CR
0.58,0.25881,CR
0.98,0.25413,CR
2.01,0.26283,CR
0.87,0.28352,CR
17.76,0.29496,CR
0.85,0.24191,CR
2.26,0.26709,CR
1.09,0.27405,CR
0.87,0.23634,CR
1.2,0.23319,CR
0.6,0.23785,CR
0.61,0.23325,CR
0.82,0.23533,CR
0.69,0.28135,CR
1.17,0.2708,CR
1.14,0.25278,CR
1.39,0.27959,CR
1.88,0.25762,CR
0.53,0.24116,CR
1.14,0.29158,CR
1.09,0.27927,CR
5.98,0.27731,CR
0.91,0.25881,CR
0.94,0.26479,CR
1.25,0.28438,CR
0.81,0.25124,CR
0.82,0.25757,CR
1.07,0.26087,CR
0.87,0.26779,CR
0.83,0.28243,CR
3.13,0.26485,CR
0.59,0.22792,CR
2.09,0.27469,CR
1.29,0.26263,CR
0.59,0.20504,CR
0.83,0.22429,CR
1.49,0.24666,CR
3.82,0.25401,CR
1.4,0.29856,CR
2.5,0.26292,CR
1.32,0.26066,CR
0.63,0.22792,CR
1.57,0.25065,CR
1.35,0.2717,CR
1.28,0.24916,CR
2.99,0.27038,CR
1.39,0.27122,CR
0.76,0.23213,CR
0.9,0.22153,CR
0.58,0.22554,CR
2.35,0.28011,CR
1.16,0.27389,CR
0.83,0.25578,CR
0.65,0.22605,CR
1.38,0.29057,CR
1.03,0.26707,CR
0.8,0.26524,CR
1.37,0.26234,CR
1.24,0.27727,CR
1,0.25109,CR
3.25,0.28696,CR
2.12,0.24714,CR
0.86,0.2651,CR
1.63,0.25763,CR
0.62,0.25778,CR
1.47,0.26579,CR
1.46,0.26992,CR
0.62,0.24234,CR
0.77,0.26499,CR
0.57,0.24522,CR
0.96,0.26763,CR
2.58,0.27945,CR
1.52,0.25469,CR
0.56,0.24079,CR
0.8,0.18931,CR
1.63,0.26848,CR
1.57,0.24967,CR
0.56,0.24723,CR
0.98,0.23915,CR
0.99,0.24452,CR
2.26,0.24543,CR
0.92,0.25006,CR
1.22,0.2818,CR
1.71,0.29059,CR
1.63,0.28569,CR
1.08,0.27263,CR
1.33,0.26278,CR
1.23,0.29615,CR
2.27,0.25881,CR
1.39,0.27209,CR
1.1,0.29009,CR
1.6,0.27232,CR
0.7,0.24093,CR
0.74,0.28014,CR
0.88,0.27922,CR
0.89,0.26965,CR
1.39,0.27007,CR
0.89,0.30379,CR
2.87,0.26656,CR
0.61,0.24709,CR
0.62,0.23307,CR
0.67,0.27205,CR
1.53,0.29557,CR
1.04,0.25194,CR
0.67,0.26763,CR
1.78,0.24717,CR
0.86,0.25366,CR
1.06,0.27258,CR
2.53,0.28732,CR
2.03,0.27579,CR
0.95,0.20488,CR
0.64,0.24336,CR
0.67,0.26852,CR
1.34,0.27001,CR
0.95,0.26616,CR
0.85,0.22151,CR
0.78,0.24672,CR
1.13,0.25957,CR
0.88,0.26819,CR
0.71,0.23767,CR
0.58,0.22317,CR
1.52,0.27116,CR
0.54,0.22652,CR
1.37,0.28352,CR
0.88,0.24447,CR
1.25,0.26047,CR
1.36,0.28732,CR
2.44,0.27003,CR
0.57,0.24522,CR
1,0.25972,CR
0.5,0.26739,CR
0.65,0.22324,CR
1.27,0.26856,CR
0.73,0.25128,CR
1.02,0.29058,CR
1.24,0.27593,CR
1.16,0.24888,CR
2.75,0.29974,CR
2.62,0.25089,CR
1.1,0.24732,CR
0.71,0.28891,CR
1.53,0.25192,CR
2.01,0.30505,CR
4.62,0.27124,CR
0.82,0.25696,CR
0.52,0.26808,CR
1.02,0.2694,CR
1.59,0.27097,CR
0.6,0.2566,CR
0.82,0.28599,CR
1.02,0.28087,CR
1.6,0.25953,CR
0.67,0.23057,CR
0.72,0.26113,CR
1.4,0.27282,CR
1.77,0.23921,CR
0.82,0.25263,CR
1.69,0.25971,CR
1.05,0.24908,CR
1.36,0.2891,CR
1.18,0.26168,CR
0.78,0.24874,CR
1.07,0.2621,CR
2.56,0.26129,CR
0.63,0.23191,CR
2.62,0.27936,CR
1.17,0.24609,CR
1.28,0.26492,CR
2.05,0.26684,CR
0.59,0.26567,CR
0.75,0.2782,CR
0.8,0.26653,CR
0.74,0.29632,CR
3.13,0.28002,CR
1.27,0.25198,CR
0.92,0.24594,CR
0.62,0.25984,CR
0.62,0.25263,CR
1.05,0.266,CR
4.89,0.28253,CR
0.86,0.23021,CR
1.16,0.31066,CR
0.95,0.26812,CR
0.56,0.23564,CR
0.55,0.23329,CR
0.61,0.28757,CR
1.57,0.24003,CR
0.64,0.24819,CR
0.54,0.27566,CR
0.46,0.24752,CK
0.76,0.2138,CK
0.78,0.28277,CK
0.61,0.24016,CK
0.5,0.29064,CK
