countyname,statename,fips_1,sociod_eqi_2jan2018_vc,air_eqi_2jan2018_vc,land_eqi_2jan2018_vc,water_eqi_2jan2018_vc,eqi_2jan2018_vc,pctnonwhite10,gdp2017b,metro,fac_penalty_count,CIDDist,FinalEC,estab,EPAregion,cases_2011,cases_2012,cases_2013,cases_2014,cases_2015,cases_2016,cases_2017,cases_2018,cases_2019,cases_2020,proportionObama
Autauga County,Alabama,01001,.52590954,.36615822,.018733162,1.4282582,-.28468168,22.753843,1.762558,1,7,220.4425029462765,1,22,4,0,1,0,0,0,0,0,0,0,0,1
Baldwin County,Alabama,01003,.70231909,-.71388358,-.40131962,.084552139,-.75496942,16.495213,7.3825579,1,13,25.09295442639839,0,183,4,0,0,0,0,0,0,0,0,0,0,0
Barbour County,Alabama,01005,-.69072813,-.57340521,.13894241,1.4241153,.0056379358,53.246899,.76176101,0,3,195.6220762296568,0,22,4,0,0,0,0,0,0,0,0,0,0,0
Bibb County,Alabama,01007,-.8120957,-.12238682,1.2368873,1.4246222,-.30403975,24.979271,.40674099,1,1,242.4866295815781,0,16,4,0,0,0,0,0,0,0,0,0,0,0
Blount County,Alabama,01009,-.43140784,-.22443213,-.24516718,1.4078432,-1.1416606,11.112661,.98796701,1,7,178.2818109498972,0,44,4,0,0,0,0,0,0,0,0,0,0,0
Bullock County,Alabama,01011,-.92429376,-.41313195,.44311437,1.4247169,-.10442379,78.083191,.244958,0,1,195.0704988149444,1,4,4,0,0,0,0,1,0,0,0,0,0,1
Butler County,Alabama,01013,-.81917048,.2299694,-.082912274,1.4314258,.29800236,45.939751,.630225,0,5,135.4184469792909,0,19,4,0,0,0,0,0,0,0,0,0,0,0
Calhoun County,Alabama,01015,-.08986073,.25005552,-.016947431,1.4199185,.24888033,26.386499,4.2444,1,27,105.7272599642886,0,100,4,0,0,0,0,0,0,0,0,0,0,0
Chambers County,Alabama,01017,-.67775667,-.88742447,.38674811,1.4113276,-.26948351,41.858833,.87273401,0,2,105.7914891024931,0,23,4,0,0,0,0,0,0,0,0,0,0,0
Cherokee County,Alabama,01019,-.8259514,-.45138177,-.5180769,1.4159825,-.20655589,7.9264307,.55880499,0,1,95.26156054288592,0,16,4,0,0,0,0,0,0,0,0,0,0,0
Chilton County,Alabama,01021,-.48608631,-.29326272,.350254,1.4187862,-.46377289,18.898792,.98358899,1,4,212.6102285784644,0,36,4,0,0,0,0,0,0,0,0,0,0,0
Choctaw County,Alabama,01023,-1.1398103,-.16210321,1.1300246,1.1460162,.42644635,44.440437,.55618298,0,1,175.3858278749467,0,5,4,0,0,0,0,0,0,0,0,0,0,0
Clarke County,Alabama,01025,-.92405397,-.1216594,.91190535,1.4312139,.60031784,46.026402,.81411499,0,4,116.89588203509,0,20,4,0,0,0,0,0,0,0,0,0,0,0
Clay County,Alabama,01027,-1.2673583,-.078893192,.3909089,1.415224,.20564525,19.71002,.39357701,0,2,118.6672305100046,0,10,4,0,0,0,0,0,0,0,0,0,0,0
Cleburne County,Alabama,01029,-1.1293385,-.024906315,.70814425,1.4056619,-.52003151,6.7860007,.30228901,0,1,87.59397733506265,0,10,4,0,0,0,0,0,0,0,0,0,0,0
Coffee County,Alabama,01031,.022996491,-.17335677,-.89960676,1.4273748,-.33747816,27.656763,1.426217,0,8,132.2306614362829,0,37,4,0,0,0,0,0,0,0,0,0,0,0
Colbert County,Alabama,01033,-.20358881,-.23244886,-.82166046,1.4101496,-.042118575,20.382891,2.4537311,1,15,296.5719865481432,0,89,4,0,0,0,0,0,0,0,0,0,0,0
Conecuh County,Alabama,01035,-1.2569915,-.96685469,.66991419,1.4309033,-.61074078,48.866043,.43977699,0,0,100.9648793419774,0,13,4,0,0,0,0,0,0,0,0,0,0,0
