Year,Month,Fire_Count,Max_temp,Rain,Rain_prev_month,Fire_prev_month
2002,2,0,29.475,34.4,9.05,0
2002,3,0,34.7,9.05,14,8
2002,4,8,39.325,14,17.1,8
2002,5,8,41.45,17.1,214.1,0
2003,2,0,29.625,23.25,11.95,0
2003,3,0,33.7,11.95,3.9,26
2003,4,26,39.125,3.9,7.8,26
2003,5,26,40.9,7.8,164.05,0
2004,2,0,28.475,0.7,1.55,6
2004,3,6,35.6,1.55,7.5,19
2004,4,19,39.425,7.5,19.65,4
2004,5,4,40,19.65,180.3,3
2005,2,3,29.075,4,32.65,3
2005,3,3,34.3,32.65,5.2,22
2005,4,22,37.925,5.2,5.7,4
2005,5,4,40.25,5.7,146.15,4
2006,2,4,30.525,0.7,80.5,3
2006,3,3,32.9,80.5,13.45,3
2006,4,3,38.125,13.45,49.5,3
2006,5,3,40.05,49.5,118.15,0
2007,2,0,29.175,10.55,3.3,2
2007,3,2,33.8,3.3,14.4,10
2007,4,10,39.075,14.4,17,4
2007,5,4,40.55,17,141.6,2
2008,2,2,27.475,0.7,14.75,5
2008,3,5,34.75,14.75,3.1,50
2008,4,50,38.025,3.1,6.15,14
2008,5,14,40.15,6.15,238.3,1
2009,2,1,31.075,0.7,9.3,13
2009,3,13,34.95,9.3,2.25,10
2009,4,10,39.125,2.25,43,7
2009,5,7,41.05,43,114.55,0
2010,2,0,29.575,7.5,11.15,2
2010,3,2,35.8,11.15,1,3
2010,4,3,40.325,1,2.35,7
2010,5,7,41.45,2.35,101.7,0
2011,2,0,29.175,8.3,3.5,10
2011,3,10,34.4,3.5,22.05,2
2011,4,2,37.575,22.05,15.35,6
2011,5,6,40.45,15.35,289.6,8
2012,2,8,28.825,2.05,0.7,12
2012,3,12,33.7,0.7,4,87
2012,4,87,38.775,4,17.5,63
2012,5,63,40.95,17.5,86.6,5
2013,2,5,29.075,23.7,24.1,3
2013,3,3,34,24.1,15.7,31
2013,4,31,37.925,15.7,3.35,34
2013,5,34,41.55,3.35,432,9
2014,2,9,27.875,44.25,32.95,6
2014,3,6,32.8,32.95,17.5,29
2014,4,29,37.825,17.5,9.95,5
2014,5,5,39.6,9.95,84,1
2015,2,1,29.375,6.15,60.55,6
2015,3,6,32.8,60.55,26.1,5
2015,4,5,37.125,26.1,10.3,34
2015,5,34,41.05,10.3,232.1,0
2016,2,0,30.575,4,6.6,93
2016,3,93,35.3,6.6,0.8,160
2016,4,160,39.625,0.8,17.4,19
2016,5,19,40.95,17.4,168.65,0
2017,2,0,29.775,3.8,3.6,27
2017,3,27,34.2,3.6,0.4,135
2017,4,135,39.225,0.4,17.1,40
2017,5,40,41.25,17.1,168.75,0
2018,2,0,29.775,7.4,2.9,24
2018,3,24,34.8,2.9,16.75,73
2018,4,73,38.475,16.75,7.4,34
2018,5,34,41.25,7.4,230.2,0
2019,2,0,28.975,4.5,1.35,10
2019,3,10,34,1.35,6.4,197
2019,4,197,39.425,6.4,6.05,70
2019,5,70,41.25,6.05,131.05,0
2020,2,0,28.425,3.3,33.6,3
2020,3,3,33.1,33.6,8.6,88
2020,4,88,38.325,8.6,8.55,25
2020,5,25,40.65,8.55,161.35,0
2021,2,0,29.275,2.3,39.6,69
2021,3,69,34.85,39.6,3.65,176
2021,4,176,38.225,3.65,30.85,37
2021,5,37,39.05,30.85,155,37
